Gmt time,Open,High,Low,Close,Volume
14.04.2019 21:00:00.000,1.13035,1.13209,1.12975,1.13030,374810.4309
15.04.2019 21:00:00.000,1.13030,1.13139,1.12797,1.12804,476343.052
16.04.2019 21:00:00.000,1.12804,1.13237,1.12788,1.12944,394432.598
17.04.2019 21:00:00.000,1.12933,1.13039,1.12261,1.12279,416467.5791
18.04.2019 21:00:00.000,1.12295,1.12476,1.12263,1.12408,115584.66990000001
19.04.2019 21:00:00.000,1.12408,1.12408,1.12408,1.12408,0
20.04.2019 21:00:00.000,1.12408,1.12408,1.12408,1.12408,0
21.04.2019 21:00:00.000,1.12408,1.12620,1.12357,1.12566,182313.1733
22.04.2019 21:00:00.000,1.12568,1.12612,1.11921,1.12268,362754.9433
23.04.2019 21:00:00.000,1.12264,1.12265,1.11406,1.11519,392251.1006
24.04.2019 21:00:00.000,1.11518,1.11623,1.11178,1.11309,351084.3925000001
25.04.2019 21:00:00.000,1.11283,1.11739,1.11111,1.11429,353517.6993
26.04.2019 21:00:00.000,1.11429,1.11429,1.11429,1.11429,0
27.04.2019 21:00:00.000,1.11429,1.11429,1.11429,1.11429,0
28.04.2019 21:00:00.000,1.11441,1.11869,1.11441,1.11854,285168.9402
29.04.2019 21:00:00.000,1.11854,1.12290,1.11757,1.12145,321261.0212000001
30.04.2019 21:00:00.000,1.12141,1.12647,1.11870,1.11953,241818.1619
01.05.2019 21:00:00.000,1.11950,1.12190,1.11707,1.11714,302572.77050000004
02.05.2019 21:00:00.000,1.11714,1.12047,1.11350,1.12007,342215.52830000006
03.05.2019 21:00:00.000,1.12007,1.12007,1.12007,1.12007,0
04.05.2019 21:00:00.000,1.12007,1.12007,1.12007,1.12007,0
05.05.2019 21:00:00.000,1.11799,1.12092,1.11672,1.11980,318835.24919999996
06.05.2019 21:00:00.000,1.11980,1.12178,1.11666,1.11912,340447.04919999995
07.05.2019 21:00:00.000,1.11899,1.12136,1.11827,1.11909,367837.6512999999
08.05.2019 21:00:00.000,1.11909,1.12509,1.11734,1.12138,409646.99880000006
09.05.2019 21:00:00.000,1.12123,1.12536,1.12115,1.12329,380071.95060000004
10.05.2019 21:00:00.000,1.12329,1.12329,1.12329,1.12329,0
11.05.2019 21:00:00.000,1.12329,1.12329,1.12329,1.12329,0
12.05.2019 21:00:00.000,1.12320,1.12635,1.12216,1.12216,328236.8703
13.05.2019 21:00:00.000,1.12211,1.12439,1.12011,1.12033,316840.3628999999
14.05.2019 21:00:00.000,1.12033,1.12245,1.11779,1.12008,339619.66089999996
15.05.2019 21:00:00.000,1.12009,1.12238,1.11662,1.11736,331828.9408
16.05.2019 21:00:00.000,1.11735,1.11841,1.11551,1.11563,359815.5641
17.05.2019 21:00:00.000,1.11563,1.11563,1.11563,1.11563,0
18.05.2019 21:00:00.000,1.11563,1.11563,1.11563,1.11563,0
19.05.2019 21:00:00.000,1.11598,1.11748,1.11506,1.11655,302289.56909999996
20.05.2019 21:00:00.000,1.11652,1.11880,1.11419,1.11604,334241.3002999999
21.05.2019 21:00:00.000,1.11593,1.11802,1.11485,1.11501,286754.2488
22.05.2019 21:00:00.000,1.11498,1.11875,1.11070,1.11815,367019.64240000007
23.05.2019 21:00:00.000,1.11819,1.12121,1.11733,1.12043,319912.6509
24.05.2019 21:00:00.000,1.12043,1.12043,1.12043,1.12043,0
25.05.2019 21:00:00.000,1.12043,1.12043,1.12043,1.12043,0
26.05.2019 21:00:00.000,1.12091,1.12151,1.11869,1.11910,190827.99799999996
27.05.2019 21:00:00.000,1.11910,1.11983,1.11592,1.11598,305060.0014
28.05.2019 21:00:00.000,1.11598,1.11724,1.11243,1.11310,353468.89820000005
29.05.2019 21:00:00.000,1.11305,1.11433,1.11160,1.11291,301167.99019999994
30.05.2019 21:00:00.000,1.11285,1.11797,1.11251,1.11678,423489.3182
31.05.2019 21:00:00.000,1.11678,1.11678,1.11678,1.11678,0
01.06.2019 21:00:00.000,1.11678,1.11678,1.11678,1.11678,0
02.06.2019 21:00:00.000,1.11607,1.12619,1.11601,1.12414,373155.9781
03.06.2019 21:00:00.000,1.12414,1.12774,1.12267,1.12515,412796.5936000001
04.06.2019 21:00:00.000,1.12515,1.13065,1.12200,1.12208,397885.75739999994
05.06.2019 21:00:00.000,1.12204,1.13090,1.12008,1.12753,364190.7608
06.06.2019 21:00:00.000,1.12752,1.13477,1.12512,1.13334,357020.7048
07.06.2019 21:00:00.000,1.13334,1.13334,1.13334,1.13334,0
08.06.2019 21:00:00.000,1.13334,1.13334,1.13334,1.13334,0
09.06.2019 21:00:00.000,1.13220,1.13308,1.12902,1.13113,323441.39239999995
10.06.2019 21:00:00.000,1.13109,1.13374,1.13013,1.13260,358470.65049999993
11.06.2019 21:00:00.000,1.13253,1.13434,1.12824,1.12871,373380.33819999994
12.06.2019 21:00:00.000,1.12871,1.13037,1.12683,1.12761,353828.4198
13.06.2019 21:00:00.000,1.12761,1.12891,1.12024,1.12050,352199.19279999996
14.06.2019 21:00:00.000,1.12050,1.12050,1.12050,1.12050,0
15.06.2019 21:00:00.000,1.12050,1.12050,1.12050,1.12050,0
16.06.2019 21:00:00.000,1.12089,1.12470,1.12037,1.12178,246530.3533
17.06.2019 21:00:00.000,1.12178,1.12428,1.11813,1.11936,391516.4326
18.06.2019 21:00:00.000,1.11926,1.12542,1.11871,1.12259,318790.70950000006
19.06.2019 21:00:00.000,1.12255,1.13173,1.12255,1.12916,424441.7689
20.06.2019 21:00:00.000,1.12913,1.13777,1.12830,1.13679,420897.49290000007
21.06.2019 21:00:00.000,1.13679,1.13679,1.13679,1.13679,0
22.06.2019 21:00:00.000,1.13679,1.13679,1.13679,1.13679,0
23.06.2019 21:00:00.000,1.13695,1.14039,1.13662,1.13978,299686.55880000006
24.06.2019 21:00:00.000,1.13979,1.14119,1.13442,1.13651,390537.92220000003
25.06.2019 21:00:00.000,1.13651,1.13913,1.13474,1.13678,344653.0698
26.06.2019 21:00:00.000,1.13676,1.13814,1.13477,1.13689,305483.49140000006
27.06.2019 21:00:00.000,1.13689,1.13933,1.13506,1.13681,283378.0901
28.06.2019 21:00:00.000,1.13681,1.13681,1.13681,1.13681,0
